anime,anime_url,anime_img,episodes,votes,weight,rate,rate_1,rate_2,rate_3,rate_4,rate_5,genre_action,genre_adventure,genre_comedy,genre_drama,genre_family,genre_fantasy,genre_food,genre_harem,genre_historical,genre_horror,genre_idols,genre_isekai,genre_jdrama,genre_magical girls,genre_martial arts,genre_mecha,genre_music,genre_mystery,genre_post-apocalyptic,genre_romance,genre_sci-fi,genre_seinen,genre_sgdrama,genre_shojo,genre_shonen,genre_slice of life,genre_sports,genre_supernatural,genre_thriller,MAL_ID,Score,Genre,English name,Japanese name,Type,Episodes,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch,Score-10,Score-9,Score-8,Score-7,Score-6,Score-5,Score-4,Score-3,Score-2,Score-1
Keijo!!!!!!!!,https://www.crunchyroll.com/keijo,https://img1.ak.crunchyroll.com/i/spire3/02efb5862c8f76d2d9239913c3c323d71475742970_full.jpg,12,231,938,4.06,26,11,20,40,134,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,32686,7.02,"Action, Sports, Ecchi, Shounen",Keijo!!!!!!!!,競女!!!!!!!!,TV,12,"Oct 6, 2016 to Dec 22, 2016",Fall 2016,"Sotsu, Lantis, Warner Bros. Japan, KlockWorx, Medicos Entertainment, Shogakukan, NichiNare, Radio Osaka",Funimation,Xebec,Manga,23 min. per ep.,PG-13 - Teens 13 or older,3574.0,474,296623,1218,20874,172952,9827,22325,70645,12268.0,12466.0,30432.0,41281.0,24098.0,12671.0,6950.0,3396.0,2036.0,1682.0
Upotte!!,https://www.crunchyroll.com/upotte,https://img1.ak.crunchyroll.com/i/spire3/d6f1d1a2e17e22c87063bcebe41b25731333490143_full.jpg,10,228,945,4.14,17,8,28,47,128,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12317,6.51,"Action, Comedy, Military, Seinen",Upotte!!,うぽって!!,ONA,10,"Apr 7, 2012 to Jun 9, 2012",Unknown,"DAX Production, Nippon Columbia",Sentai Filmworks,Xebec,Manga,24 min. per ep.,R - 17+ (violence & profanity),5842.0,1937,63453,160,3294,34305,2173,4665,19016,1094.0,1634.0,4406.0,7790.0,6387.0,3623.0,1812.0,845.0,445.0,313.0
Kite Liberator,https://www.crunchyroll.com/kite-liberator,https://img1.ak.crunchyroll.com/i/spire3/7c0b6aa992ebe1f22561dbeb2a63bbd71548367191_full.jpg,0,217,945,4.35,15,2,15,44,141,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3323,6.34,"Action, Sci-Fi, Drama",Unknown,KITE LIBERATOR (カイト リベレイター),OVA,1,"Mar 21, 2008",Unknown,"Lantis, Happinet Pictures",Media Blasters,Arms,Original,58 min.,R+ - Mild Nudity,6699.0,3407,23110,25,523,15243,259,217,6868,368.0,695.0,1722.0,2959.0,2459.0,1546.0,829.0,415.0,205.0,152.0
Tono to Issho,https://www.crunchyroll.com/tono-to-issho,https://img1.ak.crunchyroll.com/i/spire1/6b2a60cec9e3d3556b4153e9ad819c281278453677_full.jpg,0,213,906,4.25,17,5,15,46,130,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7591,6.56,"Comedy, Historical, Parody, Samurai, Seinen",Unknown,殿といっしょ,OVA,1,"Mar 25, 2010",Unknown,Frontier Works,Unknown,Gathering,4-koma manga,37 min.,PG-13 - Teens 13 or older,5595.0,7389,3572,7,74,2323,45,96,1034,105.0,173.0,261.0,448.0,332.0,205.0,85.0,66.0,31.0,39.0
Love Stage!!,https://www.crunchyroll.com/love-stage,https://img1.ak.crunchyroll.com/i/spire1/d095879534187c6f57546b2aafb8b5361404912213_full.jpg,10,207,978,4.72,4,3,3,26,171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21105,7.32,"Comedy, Romance, Shounen Ai",Love Stage!!,LOVE STAGE!!,TV,10,"Jul 10, 2014 to Sep 11, 2014",Summer 2014,Kadokawa Shoten,Sentai Filmworks,J.C.Staff,Manga,23 min. per ep.,PG-13 - Teens 13 or older,2253.0,777,193013,1748,7311,149134,3207,6460,26901,12349.0,14809.0,24596.0,27556.0,15269.0,7927.0,3368.0,1471.0,907.0,831.0
Medaka Box,https://www.crunchyroll.com/medaka-box,https://img1.ak.crunchyroll.com/i/spire4/f51d374e523942b3a25aaeccb8ebae5c1349376953_full.jpg,0,200,911,4.56,2,7,12,36,143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11761,7.07,"Action, Comedy, Ecchi, Martial Arts, School, Shounen, Super Power",Medaka Box,めだかボックス,TV,12,"Apr 5, 2012 to Jun 21, 2012",Spring 2012,"TV Tokyo, Lantis, Media Factory, Hakoniwa Academy Student Council",Sentai Filmworks,"Gainax, Asahi Production",Manga,24 min. per ep.,PG-13 - Teens 13 or older,3367.0,723,203806,430,10184,119974,6729,10014,56905,4723.0,8210.0,21126.0,30125.0,15238.0,7253.0,3078.0,1285.0,646.0,403.0
Himouto! Umaru-chan,https://www.crunchyroll.com/himouto-umaru-chan,https://img1.ak.crunchyroll.com/i/spire3/ab21e2b37d995124ea4a77f51f81becc1436371805_full.jpg,12,196,890,4.54,5,6,12,28,145,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28825,7.17,"Comedy, School, Seinen, Slice of Life",Himouto! Umaru-chan,干物妹！うまるちゃん,TV,12,"Jul 9, 2015 to Sep 24, 2015",Summer 2015,"AT-X, TOHO animation, Good Smile Company, Shueisha, BS11, Jinnan Studio, RAY",Sentai Filmworks,Doga Kobo,Manga,24 min. per ep.,PG-13 - Teens 13 or older,2912.0,241,494283,4047,27712,337956,14390,25819,88406,22307.0,30742.0,65854.0,78645.0,39437.0,19581.0,9646.0,4840.0,3001.0,3503.0
Kotoura-san,https://www.crunchyroll.com/kotoura-san,https://img1.ak.crunchyroll.com/i/spire1/b888c171fc749d4951e5711992960e6b1533939080_full.jpg,12,182,834,4.58,1,5,13,31,132,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15379,7.23,"Comedy, Drama, Romance, School",The Troubled Life of Miss Kotoura,琴浦さん,TV,12,"Jan 11, 2013 to Mar 29, 2013",Winter 2013,"AIC, CBC, KlockWorx, flying DOG","NIS America, Inc.",AIC Classic,4-koma manga,23 min. per ep.,PG-13 - Teens 13 or older,2655.0,546,266724,1045,12978,178736,7236,9724,58050,9677.0,16983.0,35404.0,42074.0,21112.0,9918.0,4032.0,1679.0,797.0,535.0
Sword Art Online Alternative: Gun Gale Online,https://www.crunchyroll.com/sword-art-online-alternative-gun-gale-online,https://img1.ak.crunchyroll.com/i/spire4/88fd796020664ac4cfa103891a487e2f1523056672_full.jpg,13,182,678,3.73,26,13,25,39,79,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36475,7.07,"Action, Fantasy, Game, Military, Sci-Fi",Unknown,ソードアート・オンライン オルタナティブ ガンゲイル・オンライン,TV,12,"Apr 8, 2018 to Jul 1, 2018",Spring 2018,"Aniplex, Egg Firm",Aniplex of America,Studio 3Hz,Light novel,23 min. per ep.,PG-13 - Teens 13 or older,3366.0,316,421918,1376,32274,281246,10229,23417,74752,12897.0,22150.0,54183.0,67761.0,35096.0,17177.0,8911.0,4198.0,2375.0,2112.0
Hundred,https://www.crunchyroll.com/hundred,https://img1.ak.crunchyroll.com/i/spire2/7fdc1bac364cad4b9c864561e3e6813b1529088203_full.jpg,12,177,540,3.05,48,26,25,25,53,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31338,6.37,"Action, Sci-Fi, Harem, Romance, Ecchi, Mecha, School",Hundred,ハンドレッド,TV,12,"Apr 5, 2016 to Jun 21, 2016",Spring 2016,"TV Tokyo, Sotsu, Half H.P Studio, AT-X, DIVE II Entertainment, Avex Pictures, BS Japan","Funimation, Crunchyroll",Production IMS,Light novel,24 min. per ep.,PG-13 - Teens 13 or older,6574.0,526,272970,611,18431,188107,5864,17095,43473,7031.0,8265.0,18569.0,36088.0,32090.0,20216.0,10204.0,5275.0,3193.0,2186.0
Cowboy Bebop,https://www.crunchyroll.com/cowboy-bebop,https://img1.ak.crunchyroll.com/i/spire2/127db1f9004cc0e4a515790475d9e2631473191104_full.jpg,0,171,843,4.93,0,0,4,4,163,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8.78,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",Cowboy Bebop,カウボーイビバップ,TV,26,"Apr 3, 1998 to Apr 24, 1999",Spring 1998,Bandai Visual,"Funimation, Bandai Entertainment",Sunrise,Original,24 min. per ep.,R - 17+ (violence & profanity),28.0,39,1251960,61971,105808,718161,71513,26678,329800,229170.0,182126.0,131625.0,62330.0,20688.0,8904.0,3184.0,1357.0,741.0,1580.0
Mushishi,https://www.crunchyroll.com/mushi-shi,https://img1.ak.crunchyroll.com/i/spire2/3cc855b30696ef70482ccf0ed345e1921388181894_full.jpg,22,166,810,4.88,1,1,0,13,151,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,457,8.69,"Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen",Mushi-Shi,蟲師,TV,26,"Oct 23, 2005 to Jun 19, 2006",Fall 2005,"Avex Entertainment, Marvelous, SKY Perfect Well Think, Delfi Sound",Funimation,Artland,Manga,25 min. per ep.,PG-13 - Teens 13 or older,45.0,167,620736,23066,55482,235371,42786,20017,267080,65961.0,64493.0,51656.0,24255.0,8603.0,4064.0,1486.0,573.0,301.0,760.0
91 Days,https://www.crunchyroll.com/91-days,https://img1.ak.crunchyroll.com/i/spire3/e91939a4f48ac442425e1ded03ba36731467927131_full.jpg,14,163,770,4.72,0,1,12,18,132,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32998,7.84,"Action, Drama, Historical",91 Days,91Days,TV,12,"Jul 9, 2016 to Oct 1, 2016",Summer 2016,"Shochiku, Mainichi Broadcasting System, Shochiku Music Publishing","Funimation, Crunchyroll",Shuka,Original,24 min. per ep.,R - 17+ (violence & profanity),752.0,265,466565,5208,32870,255359,19977,19745,138614,22275.0,42512.0,72588.0,51511.0,18085.0,7048.0,2513.0,718.0,324.0,305.0
Fruits Basket,https://www.crunchyroll.com/fruits-basket,https://img1.ak.crunchyroll.com/i/spire3/113723dbe198372b4cbede38898083991554421405_full.jpg,0,161,790,4.91,0,0,3,9,149,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,120,7.69,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo",Fruits Basket,フルーツバスケット,TV,26,"Jul 5, 2001 to Dec 27, 2001",Summer 2001,"TV Tokyo, Nihon Ad Systems, King Records",Funimation,Studio Deen,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1058.0,314,420919,9504,15410,297921,12910,16709,77969,31688.0,40622.0,59206.0,56487.0,25501.0,12518.0,4273.0,1538.0,810.0,684.0
Kamigami no Asobi,https://www.crunchyroll.com/kamigami-no-asobi,https://img1.ak.crunchyroll.com/i/spire1/b841d550e4e8b37f78860b9d12091e921402512685_full.jpg,12,158,689,4.36,5,8,17,23,105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21563,7.09,"Harem, Supernatural, Romance, Fantasy, Shoujo",Kamigami no Asobi,神々の悪戯,TV,12,"Apr 6, 2014 to Jun 22, 2014",Spring 2014,"Frontier Works, Broccoli, Movic, Showgate",Sentai Filmworks,Brain's Base,Visual novel,23 min. per ep.,PG-13 - Teens 13 or older,3258.0,1241,116969,784,6342,71854,3322,7043,28408,5163.0,5999.0,9844.0,13650.0,9175.0,5433.0,2244.0,1034.0,546.0,340.0
Witch Craft Works,https://www.crunchyroll.com/witch-craft-works,https://img1.ak.crunchyroll.com/i/spire3/3361a8826a8a95ec98e320b64962b3541505347682_full.jpg,12,153,662,4.33,3,7,18,34,91,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21085,7.07,"Action, Fantasy, Magic, Seinen, Supernatural",Unknown,ウィッチクラフトワークス,TV,12,"Jan 5, 2014 to Mar 23, 2014",Winter 2014,"Bandai Visual, Lantis, Kodansha, Movic, I Will",Unknown,J.C.Staff,Manga,23 min. per ep.,PG-13 - Teens 13 or older,3375.0,603,238744,579,13643,154235,6590,10104,54172,5731.0,10138.0,26510.0,39226.0,21016.0,9241.0,3460.0,1304.0,583.0,344.0
Taboo Tattoo,https://www.crunchyroll.com/taboo-tattoo,https://img1.ak.crunchyroll.com/i/spire2/7b0a1af7b3edf481daff9666590f96a41467608461_full.jpg,12,148,331,2.24,62,35,22,12,17,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29758,5.79,"Action, Mystery, Comedy, Super Power, Supernatural, Martial Arts, Seinen",Taboo Tattoo,タブー・タトゥー,TV,12,"Jul 5, 2016 to Sep 20, 2016",Summer 2016,"TV Tokyo, Sotsu, AT-X, Magic Capsule, KlockWorx, DIVE II Entertainment, Avex Pictures, BS Japan","Funimation, Crunchyroll",J.C.Staff,Manga,24 min. per ep.,R - 17+ (violence & profanity),8860.0,679,215902,193,19168,115277,7843,29143,44471,2896.0,3727.0,10061.0,19847.0,21860.0,16569.0,11610.0,6104.0,3755.0,2488.0
Flying Witch,https://www.crunchyroll.com/flying-witch,https://img1.ak.crunchyroll.com/i/spire3/71db9b8dbcbd69284df73b4c1e6ef3df1460066070_full.jpg,12,139,652,4.69,2,3,4,18,112,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,31376,7.53,"Slice of Life, Comedy, Supernatural, Magic, Shounen",Flying Witch,ふらいんぐうぃっち,TV,12,"Apr 10, 2016 to Jun 26, 2016",Spring 2016,"VAP, Kodansha, Magic Capsule, Nippon Television Network, RAB Aomori Broadcasting, Nippon Television Music",Sentai Filmworks,J.C.Staff,Manga,23 min. per ep.,PG-13 - Teens 13 or older,1477.0,694,212236,1136,17156,102799,10217,12494,69570,6078.0,12207.0,26407.0,26005.0,10672.0,4562.0,1186.0,448.0,201.0,151.0
Bakemonogatari,https://www.crunchyroll.com/bakemonogatari,https://img1.ak.crunchyroll.com/i/spire3/2298cd3152d723592023777d5157a5d11347307796_full.jpg,0,135,599,4.44,8,2,9,20,96,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5081,8.36,"Romance, Supernatural, Mystery, Vampire",Bakemonogatari,化物語,TV,15,"Jul 3, 2009 to Jun 25, 2010",Summer 2009,"Aniplex, Kodansha",Aniplex of America,Shaft,Light novel,24 min. per ep.,R - 17+ (violence & profanity),174.0,61,1063666,41236,73863,664200,46545,34505,244553,116975.0,166248.0,158048.0,75858.0,26751.0,12150.0,5722.0,2625.0,1490.0,2116.0
DRAMAtical Murder,https://www.crunchyroll.com/dramatical-murder,https://img1.ak.crunchyroll.com/i/spire1/91c3c07b001931bcdb342bb21b711c581404631762_full.jpg,12,135,538,3.99,8,10,20,35,62,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23333,6.09,"Action, Sci-Fi, Super Power, Psychological",DRAMAtical Murder,ドラマティカル マーダー,TV,12,"Jul 7, 2014 to Sep 22, 2014",Summer 2014,"Avex Entertainment, Nitroplus, DIVE II Entertainment",Sentai Filmworks,NAZ,Visual novel,24 min. per ep.,PG-13 - Teens 13 or older,7841.0,1073,137781,690,9693,73471,6587,18939,29091,3248.0,3730.0,6730.0,12167.0,12641.0,9567.0,6491.0,3259.0,2116.0,1487.0
Yowamushi Pedal,https://www.crunchyroll.com/yowamushi-pedal,https://img1.ak.crunchyroll.com/i/spire1/7a36b97db217210884787b989c48b9eb1412362077_full.jpg,65,133,637,4.79,1,1,1,19,111,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,18179,8.0,"Comedy, Sports, Drama, Shounen",Yowamushi Pedal,弱虫ペダル,TV,38,"Oct 8, 2013 to Jul 1, 2014",Fall 2013,"TOHO animation, Akita Shoten",Discotek Media,TMS Entertainment,Manga,24 min. per ep.,PG-13 - Teens 13 or older,548.0,825,181339,2180,13609,112580,9059,7970,38121,10201.0,20320.0,31717.0,19461.0,6207.0,2379.0,790.0,281.0,119.0,134.0
Fuuka,https://www.crunchyroll.com/fuuka,https://img1.ak.crunchyroll.com/i/spire2/3b86bbf3ad40f36f86df634e138837ca1484112439_full.jpg,12,132,449,3.4,21,22,21,19,49,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,33743,6.54,"Drama, Ecchi, Music, Romance, School, Shounen",Fuuka,風夏,TV,12,"Jan 6, 2017 to Mar 24, 2017",Winter 2017,"Studio Tulip, Magic Capsule, Warner Bros. Japan, flying DOG","Funimation, Crunchyroll",Diomedéa,Manga,24 min. per ep.,R+ - Mild Nudity,5671.0,654,223931,817,15508,134655,6186,19169,48413,6142.0,8671.0,18137.0,28834.0,21649.0,13291.0,7964.0,3984.0,2351.0,1730.0
Non Non Biyori,https://www.crunchyroll.com/non-non-biyori,https://img1.ak.crunchyroll.com/i/spire1/f24f103a10fd45daab2d4754d2e384b71437527434_full.jpg,24,124,592,4.77,1,1,4,13,105,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17549,7.95,"Comedy, School, Seinen, Slice of Life",Non Non Biyori,のんのんびより,TV,12,"Oct 8, 2013 to Dec 24, 2013",Fall 2013,"TV Tokyo, Lantis, Media Factory, Kadokawa Shoten, AT-X, Sony Music Communications",Sentai Filmworks,SILVER LINK.,Manga,24 min. per ep.,PG-13 - Teens 13 or older,601.0,481,295922,4637,18611,150764,11073,8129,107345,15354.0,25523.0,42617.0,27951.0,9208.0,3689.0,1083.0,387.0,188.0,245.0
Peeping Life,https://www.crunchyroll.com/peeping-life,https://img1.ak.crunchyroll.com/i/spire4/a11f11364d259b90b280c98b3acf91041279149401_full.jpg,0,121,480,3.97,14,8,7,31,61,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6525,5.24,"Slice of Life, Comedy",Peeping Life:The Perfect Edition,ピーピング・ライフ,TV,10,"May 14, 2009 to Aug 11, 2009",Spring 2009,CoMix Wave Films,Unknown,Unknown,Original,5 min. per ep.,G - All Ages,10265.0,8222,2556,3,130,867,91,312,1156,19.0,20.0,60.0,102.0,133.0,149.0,86.0,58.0,59.0,82.0
Drifters,https://www.crunchyroll.com/drifters,https://img1.ak.crunchyroll.com/i/spire4/726d45e25fc2f239ccdd753a16742efb1475824870_full.jpg,0,115,530,4.61,4,3,4,12,92,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31339,7.94,"Action, Adventure, Comedy, Historical, Samurai, Fantasy, Seinen",Drifters,DRIFTERS,TV,12,"Oct 7, 2016 to Dec 23, 2016",Fall 2016,"Hoods Entertainment, NBCUniversal Entertainment Japan, Shounen Gahousha",Funimation,Hoods Drifters Studio,Manga,23 min. per ep.,R - 17+ (violence & profanity),612.0,326,410926,3111,27263,252770,12026,15984,102883,23074.0,44074.0,70333.0,43231.0,14794.0,5944.0,2577.0,902.0,385.0,347.0
White Album 2,https://www.crunchyroll.com/white-album-2,https://img1.ak.crunchyroll.com/i/spire3/eb8e031b31c11a2dc86f67356c3b33fe1380822049_full.jpg,13,109,469,4.3,4,5,11,23,66,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18245,7.71,"Drama, Music, Romance, Slice of Life",White Album 2,ホワイトアルバム2,TV,13,"Oct 6, 2013 to Dec 29, 2013",Fall 2013,Starchild Records,Unknown,Satelight,Visual novel,23 min. per ep.,PG-13 - Teens 13 or older,1014.0,774,191370,2996,8302,106075,4523,5161,67309,10714.0,16693.0,25471.0,19091.0,8498.0,3762.0,1881.0,854.0,487.0,640.0
Noblesse: Awakening,https://www.crunchyroll.com/noblesse-awakening,https://img1.ak.crunchyroll.com/i/spire4/2e37aa89ba3bca2be2265ee39557ef331454568861_full.jpg,0,105,486,4.63,1,5,4,12,83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,32668,7.46,"Action, Supernatural, Vampire, School",Unknown,Noblesse:Awakening,ONA,1,"Feb 4, 2016",Unknown,Unknown,Unknown,Production I.G,Web manga,31 min.,R - 17+ (violence & profanity),1690.0,1531,90224,398,2859,66620,579,497,19669,4823.0,6244.0,13085.0,13970.0,5799.0,2524.0,893.0,422.0,215.0,151.0
Samurai Flamenco,https://www.crunchyroll.com/samurai-flamenco,https://img1.ak.crunchyroll.com/i/spire1/7c71e58f419c920cc6eb4bba744d283c1380932808_full.jpg,22,105,400,3.81,12,10,13,21,49,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19365,6.91,"Action, Comedy, Parody, Super Power",Samurai Flamenco,サムライフラメンコ,TV,22,"Oct 11, 2013 to Mar 28, 2014",Fall 2013,"Aniplex, Dentsu, Movic, Fuji TV, Kyoraku Industrial Holdings, DeNA",Aniplex of America,Manglobe,Original,23 min. per ep.,R - 17+ (violence & profanity),3971.0,1263,114702,844,8233,45061,7546,12485,41377,2656.0,4489.0,9067.0,11329.0,7262.0,4333.0,2573.0,1035.0,522.0,434.0
Ixion Saga DT,https://www.crunchyroll.com/ixion-saga-dt,https://img1.ak.crunchyroll.com/i/spire1/e47aa95a73f0b007bc1bece79ed05b981349127209_full.jpg,25,103,388,3.77,20,5,8,16,54,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14765,7.21,"Action, Comedy, Fantasy",Unknown,イクシオン サーガ DT,TV,25,"Oct 8, 2012 to Apr 1, 2013",Fall 2012,"Sotsu, Genco",Unknown,Brain's Base,Game,24 min. per ep.,PG-13 - Teens 13 or older,2741.0,1466,94524,335,8296,46402,5107,8171,26548,2821.0,4511.0,9379.0,11376.0,5992.0,3245.0,1596.0,656.0,362.0,280.0
Rozen Maiden,https://www.crunchyroll.com/rozen-maiden,https://img1.ak.crunchyroll.com/i/spire4/6b58d3908d89df63dca294e320a1407b1377306630_full.jpg,0,102,504,4.94,0,0,3,0,99,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,64,7.44,"Action, Comedy, Drama, Magic, Seinen",Rozen Maiden,ローゼンメイデン,TV,12,"Oct 8, 2004 to Dec 24, 2004",Fall 2004,"Mellow Head, Pony Canyon, TBS, Memory-Tech, Studio Jack","Sentai Filmworks, Geneon Entertainment USA",Nomad,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1782.0,846,176775,2074,5599,113914,6040,7852,43370,7868.0,12729.0,23021.0,23961.0,11535.0,5531.0,2028.0,737.0,387.0,292.0
