Names,anime_url,anime_img,episodes,votes_x,weight,rate,rate_1,rate_2,rate_3,rate_4,rate_5,genre_action,genre_adventure,genre_comedy,genre_drama,genre_family,genre_fantasy,genre_food,genre_harem,genre_historical,genre_horror,genre_idols,genre_isekai,genre_jdrama,genre_magical girls,genre_martial arts,genre_mecha,genre_music,genre_mystery,genre_post-apocalyptic,genre_romance,genre_sci-fi,genre_seinen,genre_sgdrama,genre_shojo,genre_shonen,genre_slice of life,genre_sports,genre_supernatural,genre_thriller,MAL_ID,Score,Genre,English name,Japanese name,Type,Episodes,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch,Score-10,Score-9,Score-8,Score-7,Score-6,Score-5,Score-4,Score-3,Score-2,Score-1,mediaType,eps,duration,ongoing,startYr,finishYr,sznOfRelease,description,studios,tags,contentWarn,watched,watching,wantWatch,dropped,rating,votes_y
Comet Lucifer,https://www.crunchyroll.com/comet-lucifer,https://img1.ak.crunchyroll.com/i/spire4/edb25fe0e22e15adfbea8c1464fad82d1443951233_full.jpg,12,52,149,2.87,7,18,12,5,10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31318,5.86,"Action, Adventure, Fantasy, Mecha",Comet Lucifer,コメット・ルシファー,TV,12,"Oct 4, 2015 to Dec 20, 2015",Fall 2015,"Bandai Visual, Lantis, Bushiroad, Good Smile Company, BS11, Sony PCL",Sentai Filmworks,8bit,Original,23 min. per ep.,PG-13 - Teens 13 or older,8660.0,1431,97175,91,7794,45551,5326,17808,20696,1190.0,1701.0,4159.0,8506.0,9261.0,7288.0,4751.0,2493.0,1409.0,783.0,TV,12.0,,False,2015.0,2015.0,Fall,"Comet Lucifer is a fantasy set on the planet Gift, where precious crystals called Giftjium are buried in the earth. The main character Sougo lives in a prosperous mining town, Garden Indigo, and loves to collect rare crystals. One day, he gets caught up in a dispute between his classmates, and somehow loses his way deep in the ruins of a mine. There, he at an underground lake, he discovers a blue-haired girl with red eyes named Felia, and his adventure begins.",['8-Bit'],"['Action', 'Mecha', 'Romance', 'Sci Fi', 'Original Work']",[],3093.0,818,2007,1261,2.461,3118.0
Gakuen Handsome,https://www.crunchyroll.com/gakuen-handsome,https://img1.ak.crunchyroll.com/i/spire3/9d4ec0fc3fa44d401cf64a6d01a48f671475508666_full.jpg,12,50,225,4.5,5,0,2,1,42,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33392,6.62,"Comedy, Parody, School, Shounen Ai",Gakuen Handsome,学園ハンサム,TV,12,"Oct 4, 2016 to Dec 20, 2016",Fall 2016,Unknown,Unknown,Team YokkyuFuman,Game,3 min. per ep.,PG-13 - Teens 13 or older,5278.0,3052,28760,178,1785,17356,900,3251,5468,3401.0,722.0,1173.0,2045.0,2130.0,1776.0,1138.0,777.0,657.0,812.0,TV,12.0,4.0,False,2016.0,2016.0,Fall,"The top-class boys school in the prefecture, Baramon Private Academy. The protagonist who just transferred there encounters various tough guys at the school. As soon as you pass the gates, there was handsome— The outlaw teacher, the captain of the soccer team, his childhood friend who he hasn’t seen in seven years, etc... This is a school love story filled with very uniquely extreme feelings.",['Team YokkyuFuman'],"['BL', 'Comedy', 'Romance', 'Shounen-ai', 'All-Boys School', 'Gag', 'Parody', 'School Life', 'Short Episodes', 'Transfer Students', 'Based on a Visual Novel']",[],1146.0,138,514,258,2.376,928.0
Toriko,https://www.crunchyroll.com/toriko,https://img1.ak.crunchyroll.com/i/spire4/eb8084f8230108f487402956e9984f1c1384463925_full.jpg,146,50,221,4.42,1,4,3,7,35,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10033,7.56,"Action, Adventure, Comedy, Fantasy, Shounen",Toriko,トリコ,TV,147,"Apr 3, 2011 to Mar 30, 2014",Spring 2011,"Yomiko Advertising, Fuji TV, Shueisha",Funimation,Toei Animation,Manga,23 min. per ep.,PG-13 - Teens 13 or older,1406.0,1384,100907,823,13456,37022,9463,11668,29298,4193.0,5938.0,10807.0,10732.0,5205.0,2696.0,1274.0,588.0,315.0,370.0,Other,1.0,28.0,False,2009.0,2009.0,,"The manly Toriko is an avid food lover who’s able to catch any delicious morsel with ease. Thus, when Komatsu, the head chef of Hotel Gourmet, approaches him with the job of finding a rare Galara Crocodile, Toriko springs into action! The two make their way to the Baron Islands in search of their tasty prey, but what they find there is more than they bargained for! Who will be eaten, the duo or their dinner?",['ufotable'],"['Action', 'Adventure', 'Comedy', 'Shounen', 'Food and Beverage', 'Island', 'Based on a Manga']",[],2927.0,239,1497,118,3.619,1789.0
Tsugumomo,https://www.crunchyroll.com/tsugumomo,https://img1.ak.crunchyroll.com/i/spire4/d8b434b203dc4b046e6c472886d7961e1493418583_full.jpg,12,49,201,4.1,3,5,4,9,28,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34019,7.07,"Action, Comedy, Ecchi, School, Seinen, Supernatural",Tsugumomo,つぐもも,TV,12,"Apr 2, 2017 to Jun 18, 2017",Spring 2017,"Animax, Toei Video, Pony Canyon, Studio NOIX, Hakuhodo DY Music & Pictures, Futabasha, Hakuhodo, Kakao Japan, My Theater D.D.","Funimation, Crunchyroll",Zero-G,Manga,24 min. per ep.,R+ - Mild Nudity,3339.0,1107,134124,367,11556,69341,4322,8416,40489,3320.0,4597.0,12029.0,18456.0,9484.0,4461.0,1934.0,814.0,397.0,277.0,TV,12.0,,False,2017.0,2017.0,Spring,"Kazuya Kagami's most treasured possession in the world is the obi left to him by his late mother. The scent of cherry-blossoms infused into it helps him through his day - but he never expected it to save his life, becoming a beautiful kimono-clad girl who calls herself an ""artifact spirit."" Her name is Kiriha, tsukumogami of the sash, who naturally moves in with him, as he is her ""owner."" Throw in Chisato, his bespectacled friend, an overprotective older sister who wants to take baths with him, a busty priestess, a seductive sorceress named Kokuyoura, and Kazuya's life has just gotten a lot more...interesting.",['Zero-G'],"['Action', 'Comedy', 'Ecchi', 'Harem', 'Seinen', 'Supernatural', 'Based on a Manga']",['Nudity'],3321.0,641,2084,473,3.497,2633.0
Mononoke,https://www.crunchyroll.com/mononoke,https://img1.ak.crunchyroll.com/i/spire4/955ae49a68648b931699a537e90e884b1416976678_full.jpg,0,48,232,4.83,0,1,0,5,42,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2246,8.42,"Mystery, Historical, Horror, Demons, Psychological, Supernatural, Fantasy, Seinen",Mononoke,モノノ怪,TV,12,"Jul 13, 2007 to Sep 28, 2007",Summer 2007,Fuji TV,Flatiron Film Company,Toei Animation,Original,22 min. per ep.,R - 17+ (violence & profanity),144.0,688,215972,5686,13887,71537,9166,4855,116527,15608.0,17249.0,16462.0,8401.0,3169.0,1245.0,598.0,228.0,141.0,501.0,TV,12.0,,False,2007.0,2007.0,Summer,"In feudal Japan, evil spirits known as mononoke plague both households and the countryside, leaving a trail of fear in their wake. One mysterious person has the power to slay the mononoke where they stand; he is known only as the Medicine Seller, and he vanquishes the mononoke using the power of his Exorcism Sword. However, in order to draw his sword he must first understand the Form, Truth and Reason of the mononoke. Armed with a sharp wit and keen intellect, the Medicine Seller wanders from place to place, striking down the mononoke in his wake.",['Toei Animation'],"['Horror', 'Abstract', 'Episodic', 'Japanese Mythology', 'noitaminA', 'Supernatural', 'Youkai']",[],7036.0,885,9136,559,4.324,5647.0
Planet With,https://www.crunchyroll.com/planet-with,https://img1.ak.crunchyroll.com/i/spire3/2f6f8d6a27624f41d071cb5063f9a4d61530947104_full.jpg,12,47,215,4.57,0,1,5,7,34,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37578,7.23,"Action, Mecha, Sci-Fi",Unknown,プラネット・ウィズ,TV,12,"Jul 8, 2018 to Sep 23, 2018",Summer 2018,"Movic, Q-Tec, Hakuhodo DY Music & Pictures, Medicos Entertainment, BS11, Bandai Namco Arts",Unknown,J.C.Staff,Original,23 min. per ep.,PG-13 - Teens 13 or older,2626.0,2300,48275,139,3886,23070,1843,3638,15838,884.0,2456.0,5405.0,6022.0,3109.0,1444.0,597.0,223.0,112.0,69.0,TV,12.0,,False,2018.0,2018.0,Summer,"Souya Kuroi is a high schooler living a peaceful life despite having no memories of his past. One day, however, his town is attacked by one of the mysterious Nebula Weapons. Together with the cat-like “Sensei” and the gothic lolita Ginko, Soya gets dragged into a battle against... seven superheroes who protect the town! What is Soya's reason to fight? The answer lies in his memories.",['J.C. Staff'],"['Action', 'Mecha', 'Sci Fi', 'Aliens', 'Amnesia', 'Psychic Powers', 'Original Work']",[],1270.0,290,902,179,3.758,1121.0
"Wake Up, Girls!",https://www.crunchyroll.com/wake-up-girls,https://img1.ak.crunchyroll.com/i/spire2/ed8375ecb2b2565766ad4afea4f658261507330691_full.jpg,35,47,200,4.26,4,1,3,10,29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19023,6.99,"Drama, Music","Wake Up, Girls!","Wake Up, Girls！",TV,12,"Jan 11, 2014 to Mar 29, 2014",Winter 2014,"TV Tokyo, Avex Entertainment, Sotsu, Sega, Gakken, Rakuonsha, AT-X, Toho, Ultra Super Pictures, DIVE II Entertainment, Good Smile Company",Sentai Filmworks,"Tatsunoko Production, Ordet",Original,24 min. per ep.,PG-13 - Teens 13 or older,3667.0,2354,46365,142,2521,20284,1829,3180,18551,859.0,1692.0,3602.0,5118.0,2844.0,1623.0,630.0,299.0,123.0,126.0,TV,12.0,,False,2014.0,2014.0,Winter,"Green Leaves Entertainment is a tiny production company on the verge of going out of business in Sendai, the biggest city in Japan's northeastern Tohoku region. The agency once managed the careers of magicians, photo idols, fortune-tellers, and other entertainers, but its last remaining client finally quit. In danger of having zero talent (literally), the president Tange hatches an idea of producing an idol group. On the brash president's orders, the dissatisfied manager Matsuda heads out to scout raw talent. Matsuda makes a fateful encounter with a certain girl...","['Tatsunoko Production', 'Ordet']","['Drama', 'Slice of Life', 'Idols', 'Music', 'Showbiz', 'Original Work']",[],1578.0,242,1525,285,3.234,1375.0
High School Fleet,https://www.crunchyroll.com/high-school-fleet,https://img1.ak.crunchyroll.com/i/spire1/f814fb0bb1df330ae9af4db7d00125591462574622_full.jpg,12,47,198,4.21,1,3,7,10,26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31500,7.3,"Action, Military, School",High School Fleet,ハイスクール・フリート,TV,12,"Apr 10, 2016 to Jun 26, 2016",Spring 2016,"Aniplex, Half H.P Studio, Asmik Ace, Graphinica, BS11, Contents Seed, Cromea, Akatsuki",Aniplex of America,Production IMS,Original,24 min. per ep.,PG-13 - Teens 13 or older,2356.0,1580,85720,708,5403,43350,2734,4414,29819,2806.0,4263.0,9302.0,10467.0,5083.0,2522.0,1089.0,396.0,189.0,155.0,TV,12.0,,False,2016.0,2016.0,Spring,"Akeno Misaki and Moeka China share one goal—to join the Blue Mermaids! A group of fierce women, the Blue Mermaids are key to keeping peace among the seas and coastal cities in this age of maritime trade. To be a part of this elite group of sea protectors, they must succeed at Yokosuka's Marine High School. Akeno and Moeka, together with their classmates, will take the plunge to become Mermaids!",['Production IMS'],"['Action', 'Sci Fi', 'Military', 'Military School', 'Ocean', 'School Life', 'Ship', 'Original Work']",[],2267.0,318,1739,294,3.62,1971.0
Ahiru no Sora,https://www.crunchyroll.com/ahiru-no-sora,https://img1.ak.crunchyroll.com/i/spire3/a95bd04befcc31455ea7c985da2aeaee1569960837_full.jpg,24,46,199,4.33,2,5,2,4,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,37403,7.35,"Comedy, Sports, Drama, School, Shounen",Unknown,あひるの空,TV,50,"Oct 2, 2019 to Sep 30, 2020",Fall 2019,"TV Tokyo, Kodansha, AT-X, King Records, DMM pictures",Sentai Filmworks,Diomedéa,Manga,24 min. per ep.,PG-13 - Teens 13 or older,2092.0,1119,132093,678,40822,38484,10071,13195,29521,3374.0,6168.0,14612.0,16041.0,7310.0,3539.0,1415.0,470.0,225.0,194.0,TV,35.0,,True,2019.0,,Fall,"He may be shorter in stature, but Sora Kurumatani can soar and score on the basketball court! With a passion for the sport he inherited from his mother, Sora vows to her that he'll take top prize at a high school basketball tournament… but there's one problem. His new school's basketball club has turned into a hangout for delinquents! Will Sora's sheer tenacity and amazing three-point shooting change their minds and get the club up and running again?",['diomedea'],"['Shounen', 'Sports', 'Basketball', 'Delinquents', 'School Club', 'Based on a Manga']",[],,3067,1813,302,3.989,1305.0
Love Live! Sunshine!!,https://www.crunchyroll.com/love-live-sunshine,https://img1.ak.crunchyroll.com/i/spire4/d6b86e43bfb2e1973388eef42ca820151507939806_full.jpg,26,45,206,4.58,0,1,3,10,31,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,32526,7.4,"Music, Slice of Life, School",Love Live! Sunshine!!,ラブライブ！サンシャイン!!,TV,13,"Jul 2, 2016 to Sep 24, 2016",Summer 2016,"Bandai Visual, Lantis, Magic Capsule, ASCII Media Works, Bushiroad",Funimation,Sunrise,Other,24 min. per ep.,PG-13 - Teens 13 or older,1905.0,1059,140379,2886,9254,86265,4375,5574,34911,7779.0,8735.0,17233.0,19251.0,9125.0,4438.0,1885.0,827.0,415.0,476.0,TV,13.0,,False,2016.0,2016.0,Summer,"Nothing is more appealing than the bright, sparkling world of School Idols! The girls of Uranohoshi Girls' High School are swept into idol fever, wanting nothing more than to become the next-best School Idol group. And they plan to do just that. Chika Takami brings together eight of her classmates to form Aqours, their own idol group. As long as they don't give up, any dream can come true!",['Sunrise'],"['Idols', 'Music', 'School Club', 'School Life']",[],3518.0,416,2016,238,3.856,2676.0
18if,https://www.crunchyroll.com/18if,https://img1.ak.crunchyroll.com/i/spire4/34a653188bd5ad4088bb34af932e89de1499367052_full.jpg,0,45,159,3.53,6,4,11,8,16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,35248,6.17,"Mystery, Supernatural",18if,18if,TV,13,"Jul 7, 2017 to Sep 29, 2017",Summer 2017,"Sotsu, DLE, BS Fuji, Tokyo MX, Mobcast, RAY",Funimation,Gonzo,Game,23 min. per ep.,R - 17+ (violence & profanity),7490.0,2353,46598,89,3973,17927,2263,7453,14982,570.0,866.0,1989.0,3717.0,3859.0,2853.0,1805.0,827.0,515.0,368.0,TV,13.0,,False,2017.0,2017.0,Summer,"After going to sleep like normal, Haruto Tsukishiro wakes up to discover something unbelievable—he's stuck in dream world! Here, witches plague the dreamscape and are more than dreamy figments—they're the trapped souls of young women who've rejected reality and are afflicted by the ""Sleeping Beauty Syndrome."" As he searches for a way out, Haruto will face the witches and their terrifying powers.",['GONZO'],"['Drama', 'Fantasy', 'Dream World', 'Episodic', 'Based on a Mobile Game']",['Violence'],1315.0,292,1286,576,2.504,1310.0
Comic Girls,https://www.crunchyroll.com/comic-girls,https://img1.ak.crunchyroll.com/i/spire2/8eefc5ad36f97ca0082fa912ec2984e01522885850_full.jpg,12,44,184,4.18,1,4,6,8,25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,35756,7.42,"Slice of Life, Comedy",Unknown,こみっくがーるず,TV,12,"Apr 5, 2018 to Jun 21, 2018",Spring 2018,"Sotsu, Houbunsha, Kansai Telecasting, BS11, My Theater D.D.",Unknown,Nexus,4-koma manga,23 min. per ep.,PG-13 - Teens 13 or older,1835.0,1285,111146,562,10511,54561,3447,5219,37408,3344.0,5503.0,13270.0,14472.0,6071.0,2759.0,864.0,300.0,147.0,110.0,TV,12.0,,False,2018.0,2018.0,Spring,"Moeta Kaoruko (Pen name: Kaos) is 15 years old, a high school student and 4-panel manga artist! After moving to a dorm especially for female manga artists, she meets shojo manga artist Koyume, teen romance manga artist Ruki, and shonen manga artist Tsubasa. Every day, they'll work all through the night trying to ink and finish their work! Her cute, funny life in a manga artist dorm is about to begin!",['Nexus'],"['Comedy', 'Seinen', 'Slice of Life', 'Boarding House', 'Manga Industry', 'Neighbors', 'Writers', 'Based on a Manga']",[],2239.0,490,1704,248,3.802,1959.0
Owarimonogatari,https://www.crunchyroll.com/owarimonogatari,https://img1.ak.crunchyroll.com/i/spire2/a8a938c47dd9fb234e1e6da529b2b5111443563063_full.jpg,15,43,204,4.74,1,1,1,2,38,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,31181,8.46,"Mystery, Comedy, Supernatural, Vampire",Owarimonogatari,終物語,TV,12,"Oct 4, 2015 to Dec 20, 2015",Fall 2015,Aniplex,Aniplex of America,Shaft,Light novel,26 min. per ep.,R - 17+ (violence & profanity),116.0,379,356371,2296,17490,218734,7659,3885,108603,32955.0,55097.0,54421.0,21077.0,5590.0,1898.0,726.0,288.0,168.0,588.0,TV,12.0,,False,2015.0,2015.0,Fall,"During the month of October of his third year in high school, Koyomi Araragi is introduced to a transfer student named Ougi Oshino by his underclassman Kanbaru Suruga. Ougi tells Koyomi that she has something she wishes to consult with him. When she draws the map of Naoestu High School, she finds something peculiar on there. This discovery reveals a tale that wasn’t meant to be told, and this makes Koyomi’s high school life totally different. This is the story that brings to light “what” makes Koyomi Araragi. This is the story that reveals the “beginning” of everything.",['Shaft'],"['Mystery', 'Psychological', 'Supernatural', 'Based on a Light Novel']",[],7112.0,777,5735,225,4.421,5516.0
Girly Air Force,https://www.crunchyroll.com/girly-air-force,https://img1.ak.crunchyroll.com/i/spire3/4556559011834ead5f19ca1a965c11631547077322_full.jpg,12,43,170,3.95,3,4,6,9,21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37998,6.18,"Action, Sci-Fi",Unknown,ガーリー・エアフォース,TV,12,"Jan 10, 2019 to Mar 28, 2019",Winter 2019,Sotsu,Unknown,Satelight,Light novel,23 min. per ep.,PG-13 - Teens 13 or older,7458.0,2142,54255,144,5124,24374,1682,5715,17360,793.0,954.0,2184.0,5139.0,5288.0,3455.0,1788.0,947.0,530.0,356.0,TV,12.0,,False,2019.0,2019.0,Winter,"Mysterious flying creatures called Zai suddenly appear and overwhelm all of mankind's aerial combat forces. To fight them, mankind modifies existing aircraft frames to create mechanized soldiers called ""Daughters,"" which are operated by automated piloting mechanisms called ""Anima"" that have the appearance of human girls. The story begins when Narutani Kei, a boy who yearns to take to the skies, encounters a shining red aircraft and its pilot, an Anima named Gripen who has been named mankind's trump card.",['Satelight'],"['Action', 'Sci Fi', 'Aviation', 'Military', 'Based on a Light Novel']",[],1074.0,366,975,266,2.652,944.0
IDOLiSH7,https://www.crunchyroll.com/idolish7,https://img1.ak.crunchyroll.com/i/spire1/c4f910c11fbb50ea92ed086899c6190e1509670708_full.jpg,18,42,202,4.81,0,2,0,2,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33899,7.78,Music,IDOLiSH7,アイドリッシュセブン,TV,17,"Jan 7, 2018 to May 19, 2018",Winter 2018,"Bandai Visual, Lantis, Bandai Namco Games",Unknown,TROYCA,Game,24 min. per ep.,PG-13 - Teens 13 or older,865.0,2570,39513,905,4105,15896,1601,1993,15918,2135.0,2171.0,3321.0,2876.0,1341.0,763.0,323.0,144.0,92.0,121.0,TV,17.0,,False,2018.0,2018.0,Winter,"A group of aspiring idols gather at Takanashi Productions and are entrusted with the company's future. The seven men who have just met represent a variety of totally different personalities. However, they each have their own charm and possess unknown potential as idols. Forming a group, they take their first step together as ""IDOLiSH7."" Their brilliantly shining dancing forms onstage eventually begin captivating the hearts of the people. In the glorious but sometimes harsh world of idols, they aim for the top with dreams in their hearts!",['TROYCA'],"['Drama', 'Idols', 'Music', 'Showbiz', 'Based on a Mobile Game']",[],1182.0,441,1583,125,4.091,906.0
Kaede New Town,https://www.crunchyroll.com/kaede-new-town,https://img1.ak.crunchyroll.com/i/spire1/06f38d8323fd2ee721c4267154196aa41279149967_full.jpg,0,42,186,4.43,4,0,2,4,32,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5799,5.29,"Comedy, Romance, School, Slice of Life",Unknown,楓ニュータウン,Movie,1,"Dec 8, 2007",Unknown,CoMix Wave Films,Unknown,Unknown,Original,28 min.,PG - Children,10171.0,11695,595,0,20,363,6,48,158,12.0,1.0,13.0,45.0,49.0,71.0,36.0,34.0,16.0,13.0,Movie,1.0,28.0,False,2007.0,2007.0,,"Fifth grader Mikio has a crush on his recently transferred classmate Haruko, but there’s a problem: she’s moving soon! To make matters worse, others have their eye on the girl and she’s unwilling to listen to a confession unless it’s given with confidence in a group of people. Will this task be too much for the self-proclaimed shy Mikio to handle?",['CoMix Wave Films'],"['Romance', 'Supernatural']",[],109.0,1,71,6,1.837,66.0
Full Metal Panic! Invisible Victory,https://www.crunchyroll.com/full-metal-panic-invisible-victory,https://img1.ak.crunchyroll.com/i/spire2/3867b3f219d03dadde9793bed866d43d1523597461_full.jpg,0,42,185,4.4,4,0,2,5,31,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31931,7.6,"Action, Mecha, Military",Full Metal Panic! Invisible Victory,フルメタル・パニック！Invisible Victory,TV,12,"Apr 13, 2018 to Jul 18, 2018",Spring 2018,Unknown,Funimation,Xebec,Light novel,24 min. per ep.,R - 17+ (violence & profanity),1281.0,1730,76075,256,7034,34896,2096,1648,30401,2218.0,4173.0,9101.0,7830.0,2855.0,1181.0,437.0,132.0,59.0,78.0,TV,12.0,,False,2018.0,2018.0,Spring,,['XEBEC'],"['Action', 'Comedy', 'Mecha', 'Sci Fi', 'Shounen', 'Guns', 'Military', 'Real Robot', 'Tsundere', 'Based on a Light Novel']",[],2660.0,706,2977,102,4.141,2135.0
gdgd Fairies,https://www.crunchyroll.com/gdgd-fairies,https://img1.ak.crunchyroll.com/i/spire1/0c3efe244bb0352eaa92d317c9ffbaae1357318199_full.jpg,24,42,170,4.05,7,1,2,5,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11809,6.8,Comedy,Unknown,gdgd妖精s（ぐだぐだふぇありーず）,TV,12,"Oct 13, 2011 to Dec 29, 2011",Fall 2011,"Strawberry Meets Pictures, Bouncy",Unknown,Unknown,Original,13 min. per ep.,G - All Ages,4444.0,6882,4270,45,242,1935,236,405,1452,166.0,152.0,288.0,397.0,271.0,138.0,109.0,53.0,49.0,61.0,TV,12.0,15.0,False,2011.0,2011.0,Fall,"Pkpk, Krkr and ShrShr are three fairies who love to spend time together in the Fairy Forest. Each day they sit around a tree stump, sipping tea and debating how to beat insomnia, the origin of rumors and other oddities, taking occasional breaks to peer in on other unique, bizarre worlds through a magical spring. And when boredom gets the best of them, there are always fun adventures to be had such as bungee jumping from space and even playing a game to see how many old men they can jump over!",['Bouncy'],"['Comedy', 'Fantasy', 'Magic', 'CG Animation', 'Original Work']",[],243.0,21,209,50,2.608,211.0
The Reflection,https://www.crunchyroll.com/the-reflection,https://img1.ak.crunchyroll.com/i/spire3/41beaabd6f91ddf47a04c43f7a84c0a71500717872_full.jpg,12,42,141,3.36,6,9,4,10,13,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34449,5.14,"Action, Super Power",The Reflection,ザ・リフレクション,TV,12,"Jul 22, 2017 to Oct 7, 2017",Summer 2017,"Bandai Visual, NHK, 81 Produce, Haoliners Animation League, China Animation Characters, BIGFACE, NHN PlayArt, Ima Group, Crunchyroll SC Anime Fund",Funimation,Studio Deen,Original,25 min. per ep.,PG-13 - Teens 13 or older,10418.0,3157,26983,14,1688,5189,1052,7807,11247,130.0,153.0,349.0,830.0,1202.0,1330.0,1433.0,959.0,680.0,673.0,TV,12.0,,False,2017.0,2017.0,Summer,"After THE REFLECTION, some of the people in all parts of the world are discovered with super powers. Some become heroes, and others villains. How did The Reflection happen? What was the cause of it? With many unsolved mysteries, the world is lead into turmoil.",['Studio Deen'],"['Action', 'Sci Fi', 'Superheroes', 'Superpowers', 'Original Work']",[],381.0,127,958,411,1.796,517.0
